chr,category,startpos,endpos,sample_count,fragment_count,total_fragment_size_bp,region_id,ensembl_chr,hgnc_symbol,ensembl_gene_id,chromosome_name,start_position,end_position,gene_biotype,gene_name,census_genome_location,census_tier,census_hallmark,tumour_types_somatic,tumour_types_germline,cancer_syndrome,tissue_type,molecular_genetics,role_in_cancer,mutation_types,present_in_cancer_gene_census
2,3,86359405,242841399,1,1,156481994,2319,2,ATIC,ENSG00000138363,2,215311956,215352251,protein_coding,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,2:215311817-215349763,1,Yes,ALCL,NA,NA,L,Dom,fusion,T,TRUE
11,2,48510654,129784966,1,1,81274312,7352,11,ATM,ENSG00000149311,11,108222788,108369102,protein_coding,ataxia telangiectasia mutated,11:108222832-108369099,1,Yes,T-PLL,"leukaemia, lymphoma, medulloblastoma, glioma",ataxia-telangiectasia,"L, O",Rec,TSG,"D, Mis, N, F, S",TRUE
1,3,721757,120925996,2,2,120204239,598,1,ATP1A1,ENSG00000163399,1,116372668,116410261,protein_coding,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",1:116373867-116404772,1,Yes,adrenal aldosterone producing adenoma,NA,NA,E,Dom,"oncogene, TSG","Mis, O",TRUE
23,3,49767835,154774707,1,1,105006872,12915,X,ATP2B3,ENSG00000067842,X,153517620,153582939,protein_coding,"ATPase, Ca++ transporting, plasma membrane 3",X:153536122-153582929,1,Yes,adrenal aldosterone producing adenoma,NA,NA,E,Dom,TSG,O,TRUE
3,3,239347,197581147,2,2,197341800,664,3,ATR,ENSG00000175054,3,142449007,142578868,protein_coding,ATR serine/threonine kinase,3:142449237-142578826,1,Yes,"endometrial, gastric, epithelial ovarian, myeloma",oropharyngeal,familial cutaneous telangiectasia and cancer syndrome,E; L,Dom,TSG,F; Mis,TRUE
23,3,27839617,140983031,1,1,113143414,12879,X,ATRX,ENSG00000085224,X,77504862,77786233,protein_coding,alpha thalassemia/mental retardation syndrome X-linked,X:77504878-77786269,1,Yes,"pancreatic neuroendocrine tumours, paediatric GBM",NA,NA,E,Rec,TSG,"Mis, F, N",TRUE
16,4,97610,330925,1,1,233315,9483,16,AXIN1,ENSG00000103126,16,287440,352734,protein_coding,axin 1,16:287440-352659,1,Yes,"colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma",NA,NA,"E, O",Rec,TSG,"D, Mis, N, F, S",TRUE
17,3,6115,72209858,1,1,72203743,10064,17,AXIN2,ENSG00000168646,17,65528561,65562067,protein_coding,axin 2,17:65528563-65561647,1,Yes,"colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma",colorectal carcinoma,oligodontia-colorectal cancer syndrome,E,Rec,TSG,"Mis, F, N",TRUE
15,2,20170011,51783981,1,1,31613970,9178,15,B2M,ENSG00000166710,15,44711253,44718851,protein_coding,beta-2-microglobulin,15:44711477-44718877,1,Yes,"DLBCL, melanoma, colorectal adenocarcinoma",NA,NA,"E, L",Rec,TSG,"Mis, N, F",TRUE
3,3,239347,52557038,1,1,52317691,2641,3,BAP1,ENSG00000163930,3,52398585,52410038,protein_coding,BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase),3:52401013-52410350,1,Yes,"uveal melanoma, breast, NSCLC, RCC","mesothelioma, skin and uveal melanoma, kidney cancer",BAP1 tumor predisposition syndrome,E,Rec,TSG,"N, Mis, F, S, O",TRUE
1,3,721757,120925996,2,2,120204239,598,1,BCL10,ENSG00000142867,1,85265776,85276640,protein_coding,B-cell CLL/lymphoma 10,1:85266248-85277090,1,Yes,MALT,NA,NA,L,Dom,"TSG, fusion",T,TRUE
2,4,45895,86850022,1,1,86804127,2240,2,BCL11A,ENSG00000119866,2,60450520,60554467,protein_coding,B-cell CLL/lymphoma 11A,2:60457192-60555154,1,Yes,B-CLL,NA,NA,L,Dom,"oncogene, fusion",T,TRUE
14,5,19889910,100759046,1,1,80869136,8598,14,BCL11B,ENSG00000127152,14,99169287,99272197,protein_coding,B-cell CLL/lymphoma 11B  (CTIP2),14:99169287-99271228,1,Yes,T-ALL,NA,NA,L,Dom,"oncogene, TSG, fusion",T,TRUE
18,3,166819,77927028,8,8,77760209,52,18,BCL2,ENSG00000171791,18,63123346,63320215,protein_coding,B-cell CLL/lymphoma 2,18:63123346-63320128,1,NA,"NHL, CLL",NA,NA,L,Dom,"oncogene, fusion",T,TRUE
19,3,29567046,46511617,1,1,16944571,11498,19,BCL3,ENSG00000069399,19,44747705,44760044,protein_coding,B-cell CLL/lymphoma 3,19:44748547-44760044,1,NA,CLL,NA,NA,L,Dom,"oncogene, fusion",T,TRUE
3,3,239347,197581147,2,2,197341800,664,3,BCL6,ENSG00000113916,3,187721377,187745725,protein_coding,B-cell CLL/lymphoma 6,3:187721377-187745727,1,NA,"NHL, CLL",NA,NA,L,Dom,"oncogene, fusion","T, Mis",TRUE
12,3,176089,133810703,1,1,133634614,7745,12,BCL7A,ENSG00000110987,12,122019422,122062044,protein_coding,B-cell CLL/lymphoma 7A,12:122019422-122062044,1,NA,BNHL,NA,NA,L,Dom,fusion,T,TRUE
1,2,144052752,161136843,1,1,17084091,2031,1,BCL9,ENSG00000116128,1,147541337,147626226,protein_coding,B-cell CLL/lymphoma 9,1:147541412-147626216,1,Yes,B-ALL,NA,NA,L,Dom,"oncogene, fusion",T,TRUE
6,4,292658,170892848,1,1,170600190,4263,6,BCLAF1,ENSG00000029363,6,136256627,136289852,protein_coding,BCL2 associated transcription factor 1,6:136256863-136289851,2,NA,"melanoma, SCC",NA,NA,E,NA,NA,Mis,TRUE
23,3,2699968,41203119,1,1,38503151,12814,X,BCOR,ENSG00000183337,X,40049815,40177329,protein_coding,BCL6 corepressor,X:40051248-40097403,1,Yes,"retinoblastoma, AML, APL (translocation)",NA,NA,"L, M",Rec,"TSG, fusion","F, N, S, T",TRUE
22,3,16157565,28381376,1,1,12223811,12376,22,BCR,ENSG00000186716,22,23179704,23318037,protein_coding,breakpoint cluster region,22:23180210-23318037,1,NA,"CML, ALL, AML",NA,NA,L,Dom,fusion,T,TRUE
5,3,40852451,180687212,1,1,139834761,3797,5,BHMT2,ENSG00000132840,5,79069542,79090084,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
11,2,48510654,129784966,1,1,81274312,7352,11,BIRC3,ENSG00000023445,11,102317451,102339403,protein_coding,baculoviral IAP repeat-containing 3,11:102317495-102337734,1,Yes,"CLL, MALT, MCL, MM",NA,NA,L,Dom,"oncogene, TSG, fusion","D, F, N, T, Mis",TRUE
15,3,20170150,90784250,1,1,70614100,9205,15,BLM,ENSG00000197299,15,90717340,90816166,protein_coding,Bloom Syndrome,15:90717327-90816165,1,Yes,NA,"leukaemia, lymphoma, skin squamous cell, other tumour types",Bloom syndrome,"L, E",Rec,TSG,"Mis, N, F",TRUE
10,3,95096,129249662,2,2,129154566,987,10,BMPR1A,ENSG00000107779,10,86755751,86932825,protein_coding,"bone morphogenetic protein receptor, type IA",10:86756650-86932838,1,Yes,NA,gastrointestinal polyps,juvenile polyposis,E,Rec,"oncogene, TSG","Mis, N, F",TRUE
7,3,63033158,149589343,1,1,86556185,4927,7,BRAF,ENSG00000157764,7,140719327,140925199,protein_coding,v-raf murine sarcoma viral oncogene homolog B1,7:140730665-140924928,1,Yes,"melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric",NA,NA,"E, O",Dom,"oncogene, fusion","Mis, T, O",TRUE
17,3,6115,44073734,1,1,44067619,10062,17,BRCA1,ENSG00000012048,17,43044292,43170245,protein_coding,familial breast/ovarian cancer gene 1,17:43044295-43125483,1,Yes,ovarian,"breast, ovarian",hereditary breast/ovarian cancer,E,Rec,TSG,"D, Mis, N, F, S",TRUE
13,3,19600475,32929387,1,1,13328912,8276,13,BRCA2,ENSG00000139618,13,32315086,32400268,protein_coding,familial breast/ovarian cancer gene 2,13:32315474-32400266,1,Yes,"breast, ovarian, pancreatic","breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)",hereditary breast/ovarian cancer,"L, E",Rec,TSG,"D, Mis, N, F, S",TRUE
9,3,66457127,135937396,1,1,69480269,5965,9,BRD3,ENSG00000169925,9,134030305,134068560,protein_coding,bromodomain containing 3,9:134030305-134068017,1,NA,lethal midline carcinoma of young people,NA,NA,E,Dom,"oncogene, fusion",T,TRUE
19,3,107593,15784386,1,1,15676793,10931,19,BRD4,ENSG00000141867,19,15235519,15332547,protein_coding,bromodomain containing 4,19:15235519-15280451,1,Yes,lethal midline carcinoma of young people,NA,NA,E,Dom,"oncogene, fusion",T,TRUE
17,3,6115,72209858,1,1,72203743,10064,17,BRIP1,ENSG00000136492,17,61679139,61863561,protein_coding,BRCA1 interacting protein C-terminal helicase 1,17:61681266-61863521,1,Yes,NA,"AML, leukaemia, breast","Fanconi anaemia J, breast cancer susceptiblity","L, E",Rec,TSG,"F, N, Mis",TRUE
12,3,176089,133810703,1,1,133634614,7745,12,BTG1,ENSG00000133639,12,92140278,92145854,protein_coding,"B-cell translocation gene 1, anti-proliferative",12:92140278-92145897,1,NA,B-CLL,NA,NA,L,Dom,"TSG, fusion",T,TRUE
15,3,20170011,41820200,1,1,21650189,9180,15,BUB1B,ENSG00000156970,15,40160984,40221137,protein_coding,BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast),15:40161026-40221136,1,Yes,NA,rhabdomyosarcoma,mosaic variegated aneuploidy,M,Rec,TSG,"Mis, N, F, S",TRUE
3,3,239347,54354510,3,3,54115163,308,3,CACNA1D,ENSG00000157388,3,53328963,53813733,protein_coding,"calcium channel, voltage-dependent, L type, alpha 1D subunit",3:53495049-53813733,1,Yes,adrenal aldosterone producing adenoma,NA,NA,E,Dom,oncogene,Mis,TRUE
19,3,107593,15784386,1,1,15676793,10931,19,CALR,ENSG00000179218,19,12938578,12944525,protein_coding,calreticulin,19:12938607-12944489,1,Yes,"MPN, MDS",NA,NA,L,Dom,oncogene,"F, Mis",TRUE
1,3,69511,11008497,1,1,10938986,1613,1,CAMTA1,ENSG00000171735,1,6785432,7769706,protein_coding,calmodulin binding transcription activator 1,1:6785324-7769706,1,Yes,epithelioid haemangioendothelioma,NA,NA,M,Dom,"TSG, fusion",T,TRUE
17,3,6115,81051007,1,1,81044892,10065,17,CANT1,ENSG00000171302,17,78991707,79009867,protein_coding,calcium activated nucleotidase 1,17:78991717-79009817,1,Yes,prostate,NA,NA,E,Dom,fusion,T,TRUE
7,3,228618,57245247,1,1,57016629,4810,7,CARD11,ENSG00000198286,7,2905881,3044228,protein_coding,"caspase recruitment domain family, member 11",7:2906141-3043945,1,Yes,DLBCL,NA,NA,L,Dom,oncogene,Mis,TRUE
2,3,45895,202712095,1,1,202666200,2232,2,CASP8,ENSG00000064012,2,201233443,201361836,protein_coding,"caspase 8, apoptosis-related cysteine peptidase",2:201258036-201287711,1,Yes,"hepatocellular, oral squamous cell, breast",NA,NA,E,Rec,TSG,"N, S, F",TRUE
16,3,46508314,90142087,1,1,43633773,9687,16,CBFA2T3,ENSG00000129993,16,88874858,88977207,protein_coding,"core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (MTG-16)",16:88874858-88977204,1,Yes,AML,NA,NA,L,Dom,"TSG, fusion",T,TRUE
16,3,46508314,90142087,1,1,43633773,9687,16,CBFB,ENSG00000067955,16,67028984,67101058,protein_coding,"core-binding factor, beta subunit",16:67029245-67101022,1,Yes,AML,NA,NA,L,Dom,"TSG, fusion",T,TRUE
11,2,48510654,129784966,1,1,81274312,7352,11,CBL,ENSG00000110395,11,119206036,119313926,protein_coding,Cas-Br-M (murine) ecotropic retroviral transforming,11:119206276-119308149,1,Yes,"AML, JMML, MDS",NA,NA,L,Dom/Rec,"oncogene, TSG, fusion","T, Mis, S, O",TRUE
3,3,239347,109052732,1,1,108813385,2648,3,CBLB,ENSG00000114423,3,105655461,105869552,protein_coding,Cas-Br-M (murine) ecotropic retroviral transforming sequence b,3:105655461-105869043,1,Yes,AML,NA,NA,L,Rec,TSG,"Mis, S",TRUE
19,3,29567046,46511617,1,1,16944571,11498,19,CBLC,ENSG00000142273,19,44777845,44802301,protein_coding,Cas-Br-M (murine) ecotropic retroviral transforming sequence c,19:44777869-44800634,1,NA,AML,NA,NA,L,Rec,"oncogene, TSG",M,TRUE
10,3,95096,70992912,1,1,70897816,6420,10,CCDC6,ENSG00000108091,10,59788747,59907039,protein_coding,coiled-coil domain containing 6,10:59788763-59906656,1,Yes,"papillary thyroid, CML, NSCLC",NA,NA,E,Dom,"TSG, fusion",T,TRUE
14,2,19685254,25102160,1,1,5416906,8584,14,CCNB1IP1,ENSG00000100814,14,20311353,20333317,protein_coding,"cyclin B1 interacting protein 1, E3 ubiquitin protein ligase",14:20311368-20333312,1,Yes,leiomyoma,NA,NA,M,Dom,"TSG, fusion",T,TRUE
11,3,1009622,76928149,1,1,75918527,7018,11,CCND1,ENSG00000110092,11,69641070,69654474,protein_coding,cyclin D1,11:69641087-69654474,1,Yes,"CLL, B-ALL, breast",NA,NA,"L, E",Dom,"oncogene, fusion",T,TRUE
12,3,176089,11199734,1,1,11023645,7744,12,CCND2,ENSG00000118971,12,4269755,4306933,protein_coding,cyclin D2,12:4273772-4305350,1,Yes,"NHL,CLL",NA,NA,L,Dom,"oncogene, fusion",T,TRUE
6,2,203466,90661576,1,1,90458110,4259,6,CCND3,ENSG00000112576,6,41934577,42050357,protein_coding,cyclin D3,6:41934933-41941848,1,NA,MM,NA,NA,L,Dom,"oncogene, fusion",T,TRUE
19,8,29567046,30503162,1,1,936116,11505,19,CCNE1,ENSG00000105173,19,29811471,29824313,protein_coding,cyclin E1,19:29811898-29824308,1,Yes,serous ovarian,NA,NA,E,Dom,oncogene,A,TRUE
9,3,154795,6468447,1,1,6313652,5658,9,CD274,ENSG00000120217,9,5450503,5470566,protein_coding,CD274 molecule,9:5450525-5470547,1,NA,"PMBL, Hodgkin lymphoma",NA,NA,L,Dom,"TSG, fusion",T,TRUE
5,3,40852451,180687212,1,1,139834761,3797,5,CD74,ENSG00000019582,5,150401637,150412969,protein_coding,"CD74 molecule, major histocompatibility complex, class II invariant chain",5:150402152-150412751,1,NA,NSCLC,NA,NA,E,Dom,"oncogene, fusion",T,TRUE
19,3,29567046,46511617,1,1,16944571,11498,19,CD79A,ENSG00000105369,19,41877104,41881372,protein_coding,"CD79a molecule, immunoglobulin-associated alpha",19:41877120-41881372,1,Yes,"DLBCL, WM",NA,NA,L,Dom,oncogene,S,TRUE
17,3,6115,72209858,1,1,72203743,10064,17,CD79B,ENSG00000007312,17,63928738,63932629,protein_coding,"CD79b molecule, immunoglobulin-associated beta",17:63928740-63932336,1,Yes,"DLBCL, WM",NA,NA,L,Dom,oncogene,"Mis, S",TRUE
1,4,145209330,232002332,1,1,86793002,2049,1,CDC73,ENSG00000134371,1,193115732,193264613,protein_coding,cell division cycle 73,1:193122017-193253901,1,Yes,parathyroid adenoma,"parathyroid adenoma, multiple ossifying jaw fibroma",hyperparathyroidism-jaw tumour syndrome,"E, M",Rec,TSG,"Mis, N, F",TRUE
16,3,46508314,90142087,1,1,43633773,9687,16,CDH1,ENSG00000039068,16,68737242,68835543,protein_coding,"cadherin 1, type 1, E-cadherin (epithelial) (ECAD)",16:68737225-68835548,1,Yes,"lobular breast, gastric",gastric,familial gastric carcinoma,E,Rec,TSG,"Mis, N, F, S",TRUE
16,3,46508314,90142087,1,1,43633773,9687,16,CDH11,ENSG00000140937,16,64943753,65126112,protein_coding,"cadherin 11, type 2, OB-cadherin (osteoblast)",16:64943753-65122198,1,Yes,aneurysmal bone cyst,NA,NA,M,Dom,"TSG, fusion",T,TRUE
17,3,6115,44073734,1,1,44067619,10062,17,CDK12,ENSG00000167258,17,39461437,39567559,protein_coding,cyclin-dependent kinase 12,17:39462039-39535146,1,Yes,serous ovarian,NA,NA,E,Rec,TSG,"Mis, N, F",TRUE
12,3,176089,133810703,1,1,133634614,7745,12,CDK4,ENSG00000135446,12,57746043,57756013,protein_coding,cyclin-dependent kinase 4,12:57747727-57752521,1,Yes,NA,melanoma,familial malignant melanoma,E,Dom,oncogene,Mis,TRUE
7,3,63033158,100549840,1,1,37516682,4925,7,CDK6,ENSG00000105810,7,92604921,92837004,protein_coding,cyclin-dependent kinase 6,7:92604921-92833917,1,Yes,ALL,NA,NA,L,Dom,"oncogene, fusion",T,TRUE
12,3,176089,133810703,1,1,133634614,7745,12,CDKN1B,ENSG00000111276,12,12685498,12722373,protein_coding,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",12:12717124-12722371,1,NA,"breast, small intestine neuroendocrine tumours","pituitary, parathyroid",multiple endocrine neoplasia type IV,E,Rec,TSG,F,TRUE
9,3,154795,22006348,1,1,21851553,5673,9,CDKN2A,ENSG00000147889,9,21966924,21995301,protein_coding,cyclin-dependent kinase inhibitor 2A (p16(INK4a)) gene,9:21968056-21974866,1,Yes,"melanoma, multiple other tumour types","melanoma, pancreatic",familial malignant melanoma,"L, E, M, O",Rec,TSG,"D, Mis, N, F, S",TRUE
1,4,69511,63128836,1,1,63059325,1625,1,CDKN2C,ENSG00000123080,1,50960745,50975654,protein_coding,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)",1:50960745-50974633,1,NA,"glioma, MM",NA,NA,"O, L",Rec,TSG,D,TRUE
13,3,19600475,28367061,1,1,8766586,8273,13,CDX2,ENSG00000165556,13,27959646,27975983,protein_coding,caudal type homeo box transcription factor 2,13:27962137-27971139,1,NA,AML,NA,NA,L,Dom,"TSG, fusion",T,TRUE
19,4,29567046,35251344,1,1,5684298,11501,19,CEBPA,ENSG00000245848,19,33299934,33302534,protein_coding,"CCAAT/enhancer binding protein (C/EBP), alpha",19:33299934-33302564,1,NA,"AML, MDS",NA,NA,L,Dom,TSG,"Mis, N, F",TRUE
18,5,116909,18534708,1,1,18417799,10696,18,CEP76,ENSG00000101624,18,12660738,12702777,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
19,4,29567046,35251344,1,1,5684298,11501,19,CEP89,ENSG00000121289,19,32875925,32972015,protein_coding,centrosomal protein 89kDa,19:32875925-32971963,2,NA,Spitzoid tumour,NA,NA,E,Dom,fusion,T,TRUE
8,5,183002,144566969,1,1,144383967,5150,8,CHCHD7,ENSG00000170791,8,56211560,56218809,protein_coding,coiled-coil-helix-coiled-coil-helix domain containing 7,8:56211756-56218615,1,NA,salivary adenoma,NA,NA,E,Dom,fusion,T,TRUE
12,3,176089,11199734,1,1,11023645,7744,12,CHD4,ENSG00000111642,12,6570081,6614982,protein_coding,chromodomain helicase DNA binding protein 4,12:6570088-6607476,1,Yes,uterine serous carcinoma,NA,NA,E,Dom,oncogene,"Mis, F, N",TRUE
14,2,19685254,25102160,1,1,5416906,8584,14,CHD8,ENSG00000100888,14,21385194,21456126,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
22,3,16157635,51219006,1,1,35061371,12379,22,CHEK2,ENSG00000183765,22,28687738,28742422,protein_coding,CHK2 checkpoint homolog (S. pombe),22:28687763-28741838,1,Yes,NA,breast,familial breast cancer,E,Rec,TSG,F,TRUE
4,3,59475,134085208,1,1,134025733,3250,4,CHIC2,ENSG00000109220,4,53954466,54064666,protein_coding,cysteine-rich hydrophobic domain 2,4:54009789-54064690,2,NA,AML,NA,NA,L,Dom,fusion,T,TRUE
2,3,45895,202712095,1,1,202666200,2232,2,CHN1,ENSG00000128656,2,174797579,175005405,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
